/I0/i X,/I0/i Y
2,1.163132195874159e-08
2.004,1.305766644025869e-08
2.008,1.465892298996936e-08
2.012,1.645654100666627e-08
2.016,1.847460022056127e-08
2.02,2.07401332498027e-08
2.024,2.328348771197325e-08
2.028,2.61387327411788e-08
2.032,2.934411535617051e-08
2.036,3.294257279271136e-08
2.04,3.698230766306154e-08
2.044,4.151743364704713e-08
2.048,4.660870036397394e-08
2.052,5.232430713530027e-08
2.056,5.874081653871066e-08
2.06,6.594417999096932e-08
2.064,7.40308890975993e-08
2.068,8.310926819212424e-08
2.072,9.330092537889532e-08
2.076,1.047423815167319e-07
2.08,1.175868989641945e-07
2.084,1.320065345831766e-07
2.088,1.481944445015281e-07
2.092,1.663674715078203e-07
2.096,1.867690497373263e-07
2.1,2.096724655585063e-07
2.104,2.353845183407373e-07
2.108,2.642496301405622e-07
2.112,2.966544593571605e-07
2.116,3.330330801585996e-07
2.12,3.738727970590974e-07
2.124,4.197206725356417e-07
2.128,4.711908551236873e-07
2.132,5.28972806154375e-07
2.136,5.938405353333298e-07
2.14,6.666629688748991e-07
2.144,7.484155890766347e-07
2.148,8.401935012502791e-07
2.152,9.432261030454005e-07
2.156,1.058893552666471e-06
2.16,1.188745256580988e-06
2.164,1.334520624368062e-06
2.168,1.49817236872596e-06
2.172,1.681892662750544e-06
2.176,1.888142504870545e-06
2.18,2.11968468479343e-06
2.184,2.37962079205235e-06
2.188,2.671432762896832e-06
2.192,2.999029522062412e-06
2.196,3.366799344202386e-06
2.2,3.779668636381511e-06
